iter	Passed	Remaining
0	32	32015
1	34	17315
2	37	12514
3	40	10017
4	43	8565
5	45	7551
6	48	6837
7	51	6325
8	53	5891
9	56	5566
10	58	5268
11	61	5062
12	64	4867
13	66	4690
14	69	4563
15	71	4422
16	74	4300
17	77	4200
18	79	4102
19	82	4024
20	84	3941
21	87	3867
22	89	3802
23	92	3750
24	94	3696
25	97	3658
26	100	3607
27	102	3570
28	105	3525
29	107	3486
30	110	3457
31	113	3423
32	115	3396
33	118	3367
34	120	3335
35	124	3323
36	126	3292
37	129	3275
38	131	3251
39	134	3227
40	137	3209
41	140	3195
42	142	3182
43	145	3161
44	148	3144
45	150	3129
46	153	3108
47	156	3095
48	158	3081
49	161	3063
50	163	3050
51	166	3038
52	168	3019
53	171	3001
54	173	2984
55	176	2972
56	178	2956
57	181	2940
58	183	2927
59	186	2918
60	189	2909
61	191	2903
62	194	2890
63	197	2882
64	199	2872
65	202	2863
66	204	2852
67	207	2842
68	209	2831
69	212	2820
70	214	2808
71	217	2799
72	219	2788
73	222	2782
74	225	2779
75	227	2768
76	230	2760
77	232	2749
78	235	2740
79	237	2733
80	240	2723
81	242	2715
82	245	2707
83	247	2698
84	249	2690
85	252	2680
86	254	2674
87	257	2668
88	259	2660
89	262	2654
90	265	2648
91	267	2641
92	270	2635
93	272	2627
94	274	2618
95	277	2611
96	279	2604
97	282	2596
98	284	2592
99	287	2586
100	289	2580
101	292	2576
102	295	2569
103	297	2563
104	300	2557
105	302	2550
106	305	2547
107	307	2541
108	310	2535
109	312	2530
110	315	2523
111	317	2520
112	320	2513
113	322	2507
114	325	2502
115	327	2496
116	329	2490
117	332	2485
118	334	2478
119	337	2474
120	339	2469
121	342	2462
122	344	2458
123	347	2451
124	349	2446
125	352	2442
126	354	2437
127	356	2431
128	359	2428
129	362	2423
130	364	2419
131	367	2413
132	369	2407
133	372	2404
134	374	2398
135	376	2392
136	379	2390
137	381	2386
138	384	2381
139	387	2380
140	390	2376
141	392	2373
142	395	2369
143	397	2365
144	400	2360
145	402	2354
146	405	2350
147	407	2345
148	409	2340
149	412	2337
150	415	2334
151	417	2330
152	420	2328
153	423	2323
154	425	2320
155	428	2316
156	430	2311
157	433	2308
158	435	2306
159	438	2303
160	441	2299
161	443	2295
162	446	2291
163	448	2288
164	451	2284
165	454	2282
166	457	2280
167	459	2277
168	462	2274
169	465	2273
170	468	2269
171	470	2266
172	473	2263
173	476	2260
174	479	2261
175	482	2259
176	485	2256
177	488	2255
178	491	2254
179	494	2252
180	497	2249
181	499	2246
182	502	2243
183	505	2240
184	508	2238
185	510	2234
186	527	2291
187	529	2287
188	532	2285
189	535	2282
190	537	2277
191	540	2273
192	542	2269
193	545	2266
194	548	2263
195	550	2259
196	553	2256
197	556	2253
198	558	2249
199	561	2246
200	564	2242
201	566	2239
202	569	2235
203	572	2232
204	575	2230
205	578	2228
206	581	2226
207	583	2223
208	586	2220
209	589	2218
210	592	2215
211	595	2214
212	598	2210
213	600	2207
214	603	2203
215	606	2200
216	609	2198
217	611	2195
218	614	2192
219	617	2189
220	620	2187
221	623	2184
222	625	2180
223	629	2179
224	631	2175
225	634	2172
226	637	2169
227	639	2166
228	642	2164
229	645	2160
230	648	2157
231	650	2153
232	653	2151
233	656	2148
234	659	2145
235	662	2143
236	664	2140
237	667	2136
238	670	2133
239	672	2131
240	676	2129
241	678	2125
242	681	2123
243	684	2119
244	686	2116
245	689	2113
246	692	2109
247	694	2106
248	697	2103
249	700	2100
250	703	2098
251	706	2095
252	709	2093
253	711	2090
254	714	2087
255	717	2083
256	719	2080
257	722	2077
258	724	2073
259	727	2071
260	730	2069
261	733	2066
262	736	2063
263	742	2070
264	745	2067
265	748	2065
266	751	2063
267	755	2062
268	758	2061
269	761	2059
270	764	2056
271	767	2053
272	770	2051
273	772	2048
274	776	2046
275	779	2043
276	782	2041
277	784	2038
278	787	2035
279	790	2033
280	793	2030
281	796	2027
282	799	2024
283	802	2022
284	804	2019
285	807	2016
286	810	2013
287	813	2010
288	815	2007
289	818	2003
290	821	2001
291	824	1999
292	827	1996
293	830	1993
294	832	1990
295	836	1988
