HomeTeam,FTHG_last_home_10,FTAG_last_home_10,Loose_last_home_10,Draw_last_home_10,Win_last_home_10,FTHG_last_home_5,FTAG_last_home_5,Loose_last_home_5,Draw_last_home_5,Win_last_home_5,FTHG_last_home_3,FTAG_last_home_3,Loose_last_home_3,Draw_last_home_3,Win_last_home_3
Anderlecht,1.5,0.6,0.2,0.1,0.7,1.4,0.6,0.2,0.2,0.6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
Antwerp,1.6,1.4,0.6,0.1,0.3,2.2,1.4,0.6,0.0,0.4,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
Beerschot VA,1.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,0.0
Cercle Brugge,1.9,1.3,0.4,0.3,0.3,2.2,1.4,0.4,0.2,0.4,2.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333
Charleroi,0.8,0.6,0.3,0.2,0.5,1.2,0.4,0.2,0.0,0.8,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
Club Brugge,2.1,0.7,0.1,0.3,0.6,1.4,0.6,0.0,0.6,0.4,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
Dender,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Eupen,0.8,1.3,0.6,0.1,0.3,1.0,1.0,0.4,0.2,0.4,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Genk,1.0,0.8,0.2,0.2,0.6,1.0,0.6,0.2,0.2,0.6,1.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Gent,2.6,1.1,0.2,0.2,0.6,1.6,1.0,0.4,0.2,0.4,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Kortrijk,1.1,1.4,0.5,0.1,0.4,1.0,1.2,0.4,0.2,0.4,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mechelen,2.7,2.1,0.4,0.0,0.6,2.6,3.0,0.6,0.0,0.4,2.6666666666666665,3.0,0.6666666666666666,0.0,0.3333333333333333
Oud-Heverlee Leuven,1.6,1.1,0.3,0.1,0.6,2.0,1.0,0.2,0.2,0.6,2.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
RWD Molenbeek,1.1,2.2,0.6,0.2,0.2,1.0,1.8,0.6,0.2,0.2,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333
St Truiden,1.5,1.5,0.2,0.4,0.4,1.4,1.8,0.2,0.6,0.2,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.0
St. Gilloise,1.6,0.9,0.2,0.3,0.5,1.2,0.2,0.0,0.4,0.6,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
Standard,1.3,0.7,0.1,0.4,0.5,0.8,1.0,0.2,0.4,0.4,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666
Westerlo,1.5,1.7,0.3,0.5,0.2,2.0,1.6,0.2,0.4,0.4,2.6666666666666665,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
