Team,FTHG_last_away_20,FTAG_last_away_20,HTHG_last_away_20,HTAG_last_away_20,HS_last_away_20,AS_last_away_20,HST_last_away_20,AST_last_away_20,HF_last_away_20,AF_last_away_20,HC_last_away_20,AC_last_away_20,HY_last_away_20,AY_last_away_20,HR_last_away_20,AR_last_away_20,Loose_last_away_20,Draw_last_away_20,Win_last_away_20,FTHG_last_away_10,FTAG_last_away_10,HTHG_last_away_10,HTAG_last_away_10,HS_last_away_10,AS_last_away_10,HST_last_away_10,AST_last_away_10,HF_last_away_10,AF_last_away_10,HC_last_away_10,AC_last_away_10,HY_last_away_10,AY_last_away_10,HR_last_away_10,AR_last_away_10,Loose_last_away_10,Draw_last_away_10,Win_last_away_10,FTHG_last_away_5,FTAG_last_away_5,HTHG_last_away_5,HTAG_last_away_5,HS_last_away_5,AS_last_away_5,HST_last_away_5,AST_last_away_5,HF_last_away_5,AF_last_away_5,HC_last_away_5,AC_last_away_5,HY_last_away_5,AY_last_away_5,HR_last_away_5,AR_last_away_5,Loose_last_away_5,Draw_last_away_5,Win_last_away_5,FTHG_last_home_20,FTAG_last_home_20,HTHG_last_home_20,HTAG_last_home_20,HS_last_home_20,AS_last_home_20,HST_last_home_20,AST_last_home_20,HF_last_home_20,AF_last_home_20,HC_last_home_20,AC_last_home_20,HY_last_home_20,AY_last_home_20,HR_last_home_20,AR_last_home_20,Loose_last_home_20,Draw_last_home_20,Win_last_home_20,FTHG_last_home_10,FTAG_last_home_10,HTHG_last_home_10,HTAG_last_home_10,HS_last_home_10,AS_last_home_10,HST_last_home_10,AST_last_home_10,HF_last_home_10,AF_last_home_10,HC_last_home_10,AC_last_home_10,HY_last_home_10,AY_last_home_10,HR_last_home_10,AR_last_home_10,Loose_last_home_10,Draw_last_home_10,Win_last_home_10,FTHG_last_home_5,FTAG_last_home_5,HTHG_last_home_5,HTAG_last_home_5,HS_last_home_5,AS_last_home_5,HST_last_home_5,AST_last_home_5,HF_last_home_5,AF_last_home_5,HC_last_home_5,AC_last_home_5,HY_last_home_5,AY_last_home_5,HR_last_home_5,AR_last_home_5,Loose_last_home_5,Draw_last_home_5,Win_last_home_5
Anderlecht,1.8928571428571428,0.8214285714285714,0.7857142857142857,0.32142857142857145,14.857142857142858,11.25,5.5,3.4642857142857144,9.892857142857142,12.535714285714286,5.357142857142857,3.607142857142857,1.4285714285714286,2.2142857142857144,0.03571428571428571,0.14285714285714285,0.10714285714285714,0.21428571428571427,0.6785714285714286,1.5,0.6,0.6,0.3,14.7,11.3,4.9,3.1,8.5,12.7,5.2,3.4,1.6,2.2,0.1,0.1,0.2,0.1,0.7,1.4,0.6,0.8,0.4,14.4,10.4,3.6,2.6,7.8,12.0,5.4,2.6,1.2,2.2,0.0,0.0,0.2,0.2,0.6,1.85,0.8,0.75,0.4,14.1,12.6,5.0,4.05,9.35,12.8,4.9,3.95,1.45,2.25,0.05,0.1,0.1,0.2,0.7,1.5,0.6,0.6,0.3,14.7,11.3,4.9,3.1,8.5,12.7,5.2,3.4,1.6,2.2,0.1,0.1,0.2,0.1,0.7,1.4,0.6,0.8,0.4,14.4,10.4,3.6,2.6,7.8,12.0,5.4,2.6,1.2,2.2,0.0,0.0,0.2,0.2,0.6
Antwerp,2.0,0.9655172413793104,0.8275862068965517,0.41379310344827586,15.551724137931034,9.344827586206897,5.689655172413793,3.5517241379310347,9.413793103448276,11.275862068965518,6.379310344827586,3.0,1.7586206896551724,2.103448275862069,0.0,0.13793103448275862,0.2413793103448276,0.20689655172413793,0.5517241379310345,1.6,1.4,0.3,0.6,13.9,12.4,5.0,4.6,10.5,12.1,6.4,2.9,2.1,1.5,0.0,0.1,0.6,0.1,0.3,2.2,1.4,0.6,1.0,16.8,13.2,5.6,5.0,9.4,10.4,7.2,2.0,1.8,0.8,0.0,0.0,0.6,0.0,0.4,1.95,1.15,0.8,0.45,15.35,10.65,5.5,4.25,9.7,11.4,6.35,3.25,1.9,2.0,0.0,0.1,0.35,0.2,0.45,1.6,1.4,0.3,0.6,13.9,12.4,5.0,4.6,10.5,12.1,6.4,2.9,2.1,1.5,0.0,0.1,0.6,0.1,0.3,2.2,1.4,0.6,1.0,16.8,13.2,5.6,5.0,9.4,10.4,7.2,2.0,1.8,0.8,0.0,0.0,0.6,0.0,0.4
Beerschot VA,1.8,2.0,0.4,1.6,11.8,10.2,4.0,3.6,12.8,14.4,4.2,3.0,2.4,2.0,0.0,0.2,0.4,0.4,0.2,1.5,2.6,0.7,1.6,10.4,14.4,4.4,5.6,12.7,12.8,4.8,4.1,2.1,1.6,0.1,0.1,0.6,0.2,0.2,1.0,2.2,0.2,1.4,9.0,14.4,2.8,5.6,12.4,14.2,3.2,3.6,2.8,1.0,0.0,0.2,0.8,0.2,0.0,1.05,2.0,0.5,1.1,11.5,13.95,3.95,5.05,12.0,12.7,5.1,5.1,2.0,2.15,0.2,0.1,0.7,0.1,0.2,1.5,2.6,0.7,1.6,10.4,14.4,4.4,5.6,12.7,12.8,4.8,4.1,2.1,1.6,0.1,0.1,0.6,0.2,0.2,1.0,2.2,0.2,1.4,9.0,14.4,2.8,5.6,12.4,14.2,3.2,3.6,2.8,1.0,0.0,0.2,0.8,0.2,0.0
Cercle Brugge,1.92,1.2,1.08,0.56,17.92,10.2,5.84,4.08,11.96,11.64,6.56,4.0,1.84,2.32,0.0,0.16,0.28,0.24,0.48,1.9,1.3,1.3,0.7,15.3,12.3,5.2,5.0,10.9,11.1,6.0,4.1,1.5,2.4,0.0,0.2,0.4,0.3,0.3,2.2,1.4,1.6,1.0,17.6,10.2,5.4,5.0,11.4,13.6,7.0,3.4,1.8,2.4,0.0,0.0,0.4,0.2,0.4,1.85,1.3,0.95,0.65,17.1,10.9,5.55,4.5,11.55,11.75,6.25,4.0,1.95,2.3,0.05,0.15,0.35,0.2,0.45,1.9,1.3,1.3,0.7,15.3,12.3,5.2,5.0,10.9,11.1,6.0,4.1,1.5,2.4,0.0,0.2,0.4,0.3,0.3,2.2,1.4,1.6,1.0,17.6,10.2,5.4,5.0,11.4,13.6,7.0,3.4,1.8,2.4,0.0,0.0,0.4,0.2,0.4
Charleroi,1.56,1.28,0.52,0.48,13.8,10.52,5.08,4.04,11.56,10.52,5.44,4.96,1.64,1.68,0.04,0.16,0.32,0.12,0.56,0.8,0.6,0.5,0.3,12.6,9.7,4.6,3.0,12.6,10.1,4.8,5.2,1.5,1.5,0.0,0.1,0.3,0.2,0.5,1.2,0.4,0.8,0.2,14.4,8.4,5.6,2.4,12.0,8.0,5.0,4.0,2.0,1.6,0.0,0.0,0.2,0.0,0.8,1.25,1.2,0.4,0.5,13.6,10.75,4.65,4.1,11.35,9.9,5.5,4.95,1.8,1.45,0.05,0.2,0.3,0.2,0.5,0.8,0.6,0.5,0.3,12.6,9.7,4.6,3.0,12.6,10.1,4.8,5.2,1.5,1.5,0.0,0.1,0.3,0.2,0.5,1.2,0.4,0.8,0.2,14.4,8.4,5.6,2.4,12.0,8.0,5.0,4.0,2.0,1.6,0.0,0.0,0.2,0.0,0.8
Club Brugge,2.6,0.8666666666666667,1.0,0.26666666666666666,18.533333333333335,9.0,6.8,3.1666666666666665,10.4,11.366666666666667,6.966666666666667,2.966666666666667,1.2666666666666666,2.433333333333333,0.03333333333333333,0.2,0.03333333333333333,0.3,0.6666666666666666,2.1,0.7,0.7,0.1,18.1,10.4,6.4,3.7,10.9,12.2,5.4,3.7,0.8,2.3,0.0,0.1,0.1,0.3,0.6,1.4,0.6,0.4,0.0,19.4,10.6,5.8,3.0,10.4,10.8,6.2,4.0,1.0,1.8,0.0,0.2,0.0,0.6,0.4,2.0,0.7,0.75,0.15,17.25,9.7,6.1,3.15,10.8,11.3,6.15,3.1,1.25,2.25,0.0,0.2,0.05,0.4,0.55,2.1,0.7,0.7,0.1,18.1,10.4,6.4,3.7,10.9,12.2,5.4,3.7,0.8,2.3,0.0,0.1,0.1,0.3,0.6,1.4,0.6,0.4,0.0,19.4,10.6,5.8,3.0,10.4,10.8,6.2,4.0,1.0,1.8,0.0,0.2,0.0,0.6,0.4
Dender,1.6666666666666667,1.0,1.0,1.0,8.666666666666666,10.666666666666666,3.6666666666666665,3.0,11.666666666666666,9.333333333333334,4.333333333333333,5.333333333333333,2.3333333333333335,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.0,1.0,8.666666666666666,10.666666666666666,3.6666666666666665,3.0,11.666666666666666,9.333333333333334,4.333333333333333,5.333333333333333,2.3333333333333335,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.0,1.0,8.666666666666666,10.666666666666666,3.6666666666666665,3.0,11.666666666666666,9.333333333333334,4.333333333333333,5.333333333333333,2.3333333333333335,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.0,1.0,8.666666666666666,10.666666666666666,3.6666666666666665,3.0,11.666666666666666,9.333333333333334,4.333333333333333,5.333333333333333,2.3333333333333335,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.0,1.0,8.666666666666666,10.666666666666666,3.6666666666666665,3.0,11.666666666666666,9.333333333333334,4.333333333333333,5.333333333333333,2.3333333333333335,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.0,1.0,8.666666666666666,10.666666666666666,3.6666666666666665,3.0,11.666666666666666,9.333333333333334,4.333333333333333,5.333333333333333,2.3333333333333335,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Eupen,1.0869565217391304,1.7391304347826086,0.391304347826087,0.9130434782608695,11.695652173913043,14.521739130434783,3.8260869565217392,5.608695652173913,12.347826086956522,11.652173913043478,5.391304347826087,5.521739130434782,1.9565217391304348,1.7391304347826086,0.043478260869565216,0.13043478260869565,0.5217391304347826,0.21739130434782608,0.2608695652173913,0.8,1.3,0.2,0.6,9.3,14.1,2.7,5.3,13.3,11.1,4.3,5.8,2.1,1.4,0.1,0.0,0.6,0.1,0.3,1.0,1.0,0.2,0.4,10.0,15.2,2.2,5.6,11.0,13.0,3.4,4.6,1.6,1.6,0.0,0.0,0.4,0.2,0.4,1.0,1.85,0.35,0.85,10.35,15.7,3.0,5.65,12.75,11.25,4.2,5.8,1.7,1.5,0.05,0.05,0.6,0.15,0.25,0.8,1.3,0.2,0.6,9.3,14.1,2.7,5.3,13.3,11.1,4.3,5.8,2.1,1.4,0.1,0.0,0.6,0.1,0.3,1.0,1.0,0.2,0.4,10.0,15.2,2.2,5.6,11.0,13.0,3.4,4.6,1.6,1.6,0.0,0.0,0.4,0.2,0.4
Genk,1.8275862068965518,0.9310344827586207,0.7931034482758621,0.4482758620689655,15.758620689655173,10.275862068965518,5.793103448275862,3.4827586206896552,10.862068965517242,12.689655172413794,4.827586206896552,4.172413793103448,1.2758620689655173,2.4482758620689653,0.034482758620689655,0.06896551724137931,0.1724137931034483,0.27586206896551724,0.5517241379310345,1.0,0.8,0.4,0.2,14.4,10.7,4.8,3.5,9.8,12.4,4.6,4.1,1.4,2.4,0.0,0.2,0.2,0.2,0.6,1.0,0.6,0.2,0.2,13.8,11.8,4.4,3.8,11.2,11.8,4.2,3.2,2.2,2.8,0.0,0.0,0.2,0.2,0.6,1.65,1.0,0.7,0.35,15.4,10.6,5.6,3.8,10.5,12.3,4.5,4.45,1.4,2.45,0.05,0.1,0.2,0.25,0.55,1.0,0.8,0.4,0.2,14.4,10.7,4.8,3.5,9.8,12.4,4.6,4.1,1.4,2.4,0.0,0.2,0.2,0.2,0.6,1.0,0.6,0.2,0.2,13.8,11.8,4.4,3.8,11.2,11.8,4.2,3.2,2.2,2.8,0.0,0.0,0.2,0.2,0.6
Gent,2.2962962962962963,1.037037037037037,0.9629629629629629,0.5185185185185185,16.555555555555557,11.222222222222221,6.333333333333333,4.185185185185185,9.666666666666666,11.88888888888889,5.888888888888889,4.333333333333333,1.2222222222222223,2.4074074074074074,0.037037037037037035,0.037037037037037035,0.18518518518518517,0.25925925925925924,0.5555555555555556,2.6,1.1,1.2,0.8,13.5,13.1,5.8,5.3,10.9,10.0,4.9,4.5,1.4,1.9,0.0,0.0,0.2,0.2,0.6,1.6,1.0,0.8,0.8,12.8,14.0,5.0,5.8,11.8,12.2,5.6,3.6,1.6,2.0,0.0,0.0,0.4,0.2,0.4,2.3,1.1,1.05,0.65,15.25,11.95,6.4,4.4,10.55,12.0,5.75,4.5,1.35,2.65,0.05,0.05,0.2,0.3,0.5,2.6,1.1,1.2,0.8,13.5,13.1,5.8,5.3,10.9,10.0,4.9,4.5,1.4,1.9,0.0,0.0,0.2,0.2,0.6,1.6,1.0,0.8,0.8,12.8,14.0,5.0,5.8,11.8,12.2,5.6,3.6,1.6,2.0,0.0,0.0,0.4,0.2,0.4
