long_name,value_eur,club_name
Kasper Peter Schmeichel,2900000.0,Anderlecht
Toby Albertine Maurits Alderweireld,8500000.0,Antwerp
Simon Luc Hildebert Mignolet,2300000.0,Club Brugge
Jan Bert Lieve Vertonghen,3100000.0,Anderlecht
Thomas Joseph Delaney,12500000.0,Anderlecht
Hans Vanaken,17000000.0,Club Brugge
Jean Butez,12000000.0,Antwerp
Thorgan Ganael Francis Hazard,13500000.0,Anderlecht
Andreas Skov Olsen,21000000.0,Club Brugge
Bryan Heynen,12500000.0,Genk
Daniel Muñoz Mejía,11000000.0,Genk
Vincent Janssen,10500000.0,Antwerp
Owen Wijndal,10500000.0,Antwerp
Hugo Cuypers,9500000.0,Gent
Maxime Dupé,5500000.0,Anderlecht
Mats Rits,7500000.0,Anderlecht
Casper Mørup Nielsen,7500000.0,Club Brugge
Brandon Mechele,6000000.0,Club Brugge
Hans Carl Ludwig Augustinsson,6500000.0,Anderlecht
Maarten Vandevoordt,11000000.0,Genk
Gift Emmanuel Orban,12500000.0,Gent
Adem Zorgane,9000000.0,Sporting Charleroi
Ferran Jutglà Blanch,9000000.0,Club Brugge
Kasper Dolberg Rasmussen,8000000.0,Anderlecht
Alexis Laurent Patrice Roge Flips,8000000.0,Anderlecht
Chidera Ejuke,7500000.0,Antwerp
Joseph Martin Paintsil,7500000.0,Genk
Tarik Tissoudali,5500000.0,Gent
Patrik Hrošovský,3900000.0,Genk
Raphael Onyedika Nwadike,9000000.0,Club Brugge
Carlos Eccehomo Cuesta Figueroa,8000000.0,Genk
Mark Alexander McKenzie,8000000.0,Genk
Jordan Torunarigha,5500000.0,Gent
Anders Laustrup Dreyer,5500000.0,Anderlecht
Kevin Mac Allister,4400000.0,Union Saint-Gilloise
Hendrik Van Crombrugge,2800000.0,Genk
Rob Schoofs,4100000.0,Mechelen
Christian Albert Elliot Burgess,2900000.0,Union Saint-Gilloise
Philip Aksel Frigast Zinckernagel,4200000.0,Club Brugge
Julien Ariel De Sart,4200000.0,Gent
Serhiy Sydorchuk,2800000.0,Westerlo
Gyrano Kerk,4500000.0,Antwerp
Björn Meijer,7000000.0,Club Brugge
Yira Collins Sor,7000000.0,Genk
Yari Verschaeren,6000000.0,Anderlecht
Maxim De Cuyper,6000000.0,Club Brugge
Michel Ange Balikwisha,6000000.0,Antwerp
Gerardo Daniel Arteaga Zamora,4300000.0,Genk
Jurgen Ekkelenkamp,4600000.0,Antwerp
홍현석 Hyeon Seok Hong,4600000.0,Gent
Moussa Djenepo,4000000.0,Standard Liège
Hervé Kouakou Koffi,3100000.0,Sporting Charleroi
Oday Dabbagh,4200000.0,Sporting Charleroi
Björn Engels,2900000.0,Antwerp
Alessio Castro-Montes,3600000.0,Union Saint-Gilloise
Sven Kums,1200000.0,Gent
Anthony Christian Moris,1000000.0,Union Saint-Gilloise
Nacer Chadli,1900000.0,Westerlo
Paul Nardi,2100000.0,Gent
Nikola Storm,3100000.0,Mechelen
Loïc Andre Terry Lapoussin,3200000.0,Union Saint-Gilloise
Arthur Vermeeren,5000000.0,Antwerp
Mujaid Sadick Aliu,4900000.0,Genk
Hugo Vetlesen,4700000.0,Club Brugge
Alhassan Yusuf Abdullahi,3500000.0,Antwerp
Tajon Buchanan,3700000.0,Club Brugge
Steven Alzate,3500000.0,Standard Liège
Arnaud Bodart,2700000.0,Standard Liège
Jean Thierry Lazare Amani,3200000.0,Union Saint-Gilloise
Thierry Ambrose,3100000.0,Kortrijk
Jeff Reine-Adélaïde,2900000.0,RWDM
Siebe Schrijvers,2700000.0,OH Leuven
Marco Ilaimaharitra,2400000.0,Sporting Charleroi
Sinan Bolat,400000.0,Westerlo
Ritchie Ria Alfons De Laet,850000.0,Antwerp
Denis Odoi,725000.0,Club Brugge
Xavier Mercier,1500000.0,RWDM
Éder Fabián Álvarez Balanta,2000000.0,Club Brugge
Mathieu Maertens,2400000.0,OH Leuven
Abdallah Kerim Mrabti,2300000.0,Mechelen
森岡 弘良太,1800000.0,Sporting Charleroi
Bilal El Khannouss,4400000.0,Genk
Zeno Debast,4200000.0,Anderlecht
Mandela Keita,4000000.0,Antwerp
Michał Skóraś,4200000.0,Club Brugge
Matisse Samoise,4200000.0,Gent
Zinho Vanheusden,3500000.0,Standard Liège
Kamal Sowah,3800000.0,Standard Liège
Luis Ismael Vázquez,3800000.0,Anderlecht
Abdelkahar Kadri,3800000.0,Kortrijk
Jón Dagur Þorsteinsson,3000000.0,OH Leuven
Aiden Connor O'Neill,2600000.0,Standard Liège
Youssef Maziz,2800000.0,OH Leuven
町田 浩樹,2300000.0,Union Saint-Gilloise
Jelle Bataille,2500000.0,Antwerp
Francis Apelete Amuzu,2700000.0,Anderlecht
Majeed Ashimeru,2600000.0,Anderlecht
Ismaël Kandouss,2200000.0,Gent
Amadou Diawara,2100000.0,Anderlecht
三竿 健斗,2000000.0,OH Leuven
Federico Ricca Rostagnol,1800000.0,OH Leuven
Anga Dedryck Boyata,1200000.0,Club Brugge
Benito Raman,1900000.0,Anderlecht
Adrien Trebel,1500000.0,Sporting Charleroi
Davy Roef,1300000.0,Gent
Isaac Hayden,1600000.0,Standard Liège
Pieter Gerkens,1900000.0,Gent
Andrew Hjulsager,1900000.0,Gent
Joris Kayembe Ditu,1700000.0,Genk
川邉 骏,2000000.0,Standard Liège
Konstantinos Laifis,1500000.0,Standard Liège
Hugo Siquet,3500000.0,Cercle Brugge
Matija Frigan,3500000.0,Westerlo
Bryan Reynolds,3400000.0,Westerlo
Leonardo Adelino da Silva Lopes,3200000.0,Cercle Brugge
Louis Patris,3100000.0,Anderlecht
Igor Thiago Rodrigues,3300000.0,Club Brugge
William Balikwisha,2500000.0,Standard Liège
Elias Cobbaut,2100000.0,Mechelen
Thibo Somers,2400000.0,Cercle Brugge
Arbnor Muja,2400000.0,Antwerp
Charles Vanhoutte,2100000.0,Union Saint-Gilloise
Cameron Puertas Castro,2300000.0,Union Saint-Gilloise
Jordi Vanlerberghe,1800000.0,Mechelen
Thomas Didillon,1600000.0,Cercle Brugge
Merveille Bopé Bokadi,1800000.0,Standard Liège
Sofian Kiyine,2100000.0,OH Leuven
渡辺 剛,1800000.0,Gent
Luis Geovanny Segovia Vega,1900000.0,RWDM
Jules Van Cleemput,1700000.0,Sporting Charleroi
Patrick Pflücke,1900000.0,Mechelen
Isaac Mbenza,1900000.0,Sporting Charleroi
Roman Neustädter,425000.0,Westerlo
Guðlaugur Victor Pálsson,1100000.0,AS Eupen
Kylian Hazard,1700000.0,RWDM
Miloš Pantović,1700000.0,AS Eupen
シュミット・ダニエル,850000.0,Sint-Truiden
Jorne Spileers,3300000.0,Club Brugge
Luca Oyen,3400000.0,Genk
Jordan Bos,3200000.0,Westerlo
Toluwalase Emmanuel Arokodare,3200000.0,Genk
Jacob Ondrejka,3100000.0,Antwerp
Ahoueke Steeve Kévin Denkey,2900000.0,Cercle Brugge
Jesper Daland,2600000.0,Cercle Brugge
Andi Avdi Zeqiri,2200000.0,Genk
Gaëtan Coucke,1800000.0,Mechelen
Nicolas Martin Hautorp Madsen,2000000.0,Westerlo
Mounaïm El Idrissy,2200000.0,Kortrijk
Noah Fadiga,2100000.0,Gent
Maxence André Prévôt,1600000.0,OH Leuven
Aka Wilfried Kanga,2100000.0,Standard Liège
橋岡 大樹,2000000.0,Sint-Truiden
Doğucan Haspolat,1800000.0,Westerlo
Samuel Marqus Lloyd Vines,1900000.0,Antwerp
Jonas Valentin Bager,1600000.0,Sporting Charleroi
Håkan Gustaf Nilsson,1800000.0,Union Saint-Gilloise
Mickaël Christophe Biron,1900000.0,RWDM
小川 諒也,1600000.0,Sint-Truiden
Florian Miguel,1500000.0,OH Leuven
Craig George Cathcart,450000.0,Kortrijk
Alfreð Finnbogason,675000.0,AS Eupen
Jonathan Steve Heris,900000.0,RWDM
Massimo Bruno,1400000.0,Kortrijk
Sandy Walsh,1300000.0,Mechelen
Kevin Möhwald,1400000.0,AS Eupen
Laurent Depoitre,675000.0,Gent
Núrio Domingos Matias Fortuna,1400000.0,Gent
Kristiyan Malinov,1200000.0,Kortrijk
Vetle Winger Dragsnes,1200000.0,Sporting Charleroi
Antonio Eromonsele Nordby Nusa,3100000.0,Club Brugge
Ravil Tagir,2700000.0,Westerlo
Ewoud Pletinckx,2500000.0,OH Leuven
Bartosz Białek,2700000.0,AS Eupen
Josef John Bursik,2300000.0,Club Brugge
Anouar Ait El Hadj,2700000.0,Genk
Stelios Andreou,2500000.0,Sporting Charleroi
Ken Nkuba Tshiend,2700000.0,Sporting Charleroi
Konan Ignace Jocelyn N’Dri,2700000.0,OH Leuven
Alieu Fadera,2700000.0,Genk
Boris Lambert,2500000.0,AS Eupen
Justin Antonius Lonwijk,1900000.0,Anderlecht
Mohamed El Amine Amoura,1900000.0,Union Saint-Gilloise
Kyan Vaesen,2000000.0,Westerlo
Daan Heymans,1800000.0,Sporting Charleroi
Ross James Sykes,1600000.0,Union Saint-Gilloise
Scotty Sadzoute,1600000.0,OH Leuven
Alexis François De Sart,1600000.0,RWDM
Stefan Knežević,1400000.0,Sporting Charleroi
Ortwin De Wolf,1200000.0,Antwerp
Marlon Fossey,1600000.0,Standard Liège
Antoine Rudy Bernier,1600000.0,Sporting Charleroi
Gilles Dewaele,1300000.0,Standard Liège
Regan Evans Charles-Cook,1400000.0,AS Eupen
Aleksandar Radovanović,1100000.0,Kortrijk
Damien Marcq,400000.0,Sporting Charleroi
Lukas Van Eenoo,800000.0,Westerlo
Joren Dom,625000.0,OH Leuven
Geoffry Hairemans,1000000.0,Mechelen
Hannes Van Der Bruggen,1200000.0,Cercle Brugge
Raphael Holzhauser,1200000.0,OH Leuven
Théo Defourny,650000.0,RWDM
Bruno Godeau,825000.0,Sint-Truiden
Boli Bolingoli-Mbombo,1100000.0,Mechelen
Stipe Perica,1300000.0,Standard Liège
Felipe Nicolás Avenatti Dovillabichus,1200000.0,Kortrijk
Mory Konaté,1000000.0,Mechelen
Tom Vandenberghe,800000.0,Kortrijk
Mario Stroeykens,2600000.0,Anderlecht
Thomas Van Den Keybus,2300000.0,Westerlo
Anthony Lenin Valencia Bajaña,2200000.0,Antwerp
Noah Ohio,2300000.0,Standard Liège
Matías Alejandro Galarza,2200000.0,Genk
Killian Sardella,2200000.0,Anderlecht
Gnantin Yann Gboho,2300000.0,Cercle Brugge
Marco Kana,2100000.0,Kortrijk
Žan Rogelj,2300000.0,Sporting Charleroi
Boris Popović,1900000.0,Cercle Brugge
Denis Mihai Drăguş,1600000.0,Standard Liège
Loïc Anthony Bessile,1500000.0,Sporting Charleroi
Kevin José Rodríguez Cortéz,1600000.0,Union Saint-Gilloise
Omri Gandelman,1500000.0,Gent
Nordin Jackers,1200000.0,Club Brugge
David Robert Bates,1300000.0,Mechelen
Hamza Mendyl,1400000.0,OH Leuven
Makhtar Gueye,1500000.0,RWDM
Raul Marian Opruț,1400000.0,Kortrijk
Abdoulaye Sissako,1400000.0,Kortrijk
Aboubakary Yeli Koita,1400000.0,Sint-Truiden
Lion Lauberbach,1400000.0,Mechelen
Pierre Patron,1100000.0,Sporting Charleroi
Warleson Stellion Lisboa Oliveira,1100000.0,Cercle Brugge
Senna Malik Miangué,1200000.0,Cercle Brugge
Mathias Knutsen Rasmussen,1300000.0,Union Saint-Gilloise
Kangni Frederic Ananou,1200000.0,Sint-Truiden
Dennis-Yerai Eckert Ayensa,1300000.0,Union Saint-Gilloise
安部 柊斗,1200000.0,RWDM
松尾 佑介,1400000.0,Westerlo
Mathias Fixelles,1200000.0,Westerlo
Guillaume Hubert,775000.0,RWDM
Abner Felipe Souza de Almeida,1100000.0,RWDM
Wolke Johannes Janssens,1000000.0,Sint-Truiden
岡崎 慎司,325000.0,Sint-Truiden
Colin Coosemans,675000.0,Anderlecht
Laurent Claude Henkinet,675000.0,Standard Liège
Pierre-Yves Raffaella Michel Lucien Ngawa,700000.0,OH Leuven
Renaud Emond,850000.0,Standard Liège
Youssouf Koné,975000.0,RWDM
Youssef Challouk,1100000.0,Kortrijk
Gabriel Slonina,1800000.0,AS Eupen
Christopher Bonsu Baah,2000000.0,Genk
Joel Leandro Ordóñez Guerrero,1900000.0,Club Brugge
Flávio Basilua Jacinto Nazinho,1900000.0,Cercle Brugge
Kristian Fredrik Malt Arnstad,1800000.0,Anderlecht
Alex Mighten,1900000.0,Kortrijk
藤田 譲瑠 チマ,1800000.0,Sint-Truiden
Christiaan Ravych,1800000.0,Cercle Brugge
Aziz Outtara Mohammed,1800000.0,Genk
Youssouph Mamadou Badji,1900000.0,Sporting Charleroi
Moussa N'Diaye,1800000.0,Anderlecht
Nikola Štulić,1900000.0,Sporting Charleroi
Abdul Manaf Nurudeen,1600000.0,AS Eupen
Abu Francis,1700000.0,Cercle Brugge
Edgaras Utkus,1600000.0,Cercle Brugge
Muhammed Gümüşkaya,1700000.0,Westerlo
Daam Wonnebald Foulon,1400000.0,Mechelen
Théo Leoni,1300000.0,Anderlecht
Jan Gorenc,1200000.0,AS Eupen
Ahmed Nadir Benbouali,1400000.0,Sporting Charleroi
Raz Shlomo,1200000.0,OH Leuven
Eric Junior Bocat,1200000.0,Sint-Truiden
Kayque Luiz Pereira,1300000.0,RWDM
Nick Gillekens,775000.0,Westerlo
Pietro Perdichizzi,800000.0,Westerlo
Lucas Frédéric Pirard,675000.0,Kortrijk
