name,position,age,club,market,club_value
Andreas Skov Olsen,Right Winger,24,Club Brugge KV,18.0,€136.85m
Anders Dreyer,Right Winger,26,RSC Anderlecht,15.0,€115.80m
Kasper Dolberg,Centre-Forward,26,RSC Anderlecht,12.0,€115.80m
Koki Machida,Centre-Back,27,Union Saint-Gilloise,10.0,€77.30m
Raphael Onyedika,Defensive Midfield,23,Club Brugge KV,10.0,€136.85m
Mario Stroeykens,Attacking Midfield,19,RSC Anderlecht,10.0,€115.80m
Bryan Heynen,Central Midfield,27,KRC Genk,10.0,€73.60m
Christos Tzolis,Left Winger,22,Club Brugge KV,10.0,€136.85m
Maxim De Cuyper,Left-Back,23,Club Brugge KV,9.0,€136.85m
Michel-Ange Balikwisha,Left Winger,23,Royal Antwerp FC,9.0,€60.70m
Yari Verschaeren,Attacking Midfield,23,RSC Anderlecht,8.5,€115.80m
Jean Butez,Goalkeeper,29,Royal Antwerp FC,8.0,€60.70m
Vincent Janssen,Centre-Forward,30,Royal Antwerp FC,8.0,€60.70m
Samuel Edozie,Left Winger,21,RSC Anderlecht,8.0,€115.80m
Ferran Jutglà,Centre-Forward,25,Club Brugge KV,7.5,€136.85m
Hans Vanaken,Attacking Midfield,32,Club Brugge KV,7.0,€136.85m
Leander Dendoncker,Defensive Midfield,29,RSC Anderlecht,7.0,€115.80m
Tsuyoshi Watanabe,Centre-Back,27,KAA Gent,7.0,€55.45m
Luka Vuskovic,Centre-Back,17,KVC Westerlo,7.0,€40.88m
Viktor Djukanovic,Left Winger,20,Standard Liège,7.0,€52.75m
Hugo Vetlesen,Central Midfield,24,Club Brugge KV,7.0,€136.85m
Ardon Jashari,Defensive Midfield,22,Club Brugge KV,6.0,€136.85m
Sofiane Boufal,Left Winger,30,Union Saint-Gilloise,6.0,€77.30m
Kevin Mac Allister,Centre-Back,26,Union Saint-Gilloise,6.0,€77.30m
Zeno Van Den Bosch,Centre-Back,21,Royal Antwerp FC,6.0,€60.70m
Arnaud Bodart,Goalkeeper,26,Standard Liège,6.0,€52.75m
Thomas Foket,Right-Back,29,RSC Anderlecht,6.0,€115.80m
Zaid Romero,Centre-Back,24,Club Brugge KV,6.0,€136.85m
Bjorn Meijer,Left-Back,21,Club Brugge KV,6.0,€136.85m
Alessio Castro-Montes,Right Midfield,27,Union Saint-Gilloise,6.0,€77.30m
Carlos Cuesta,Centre-Back,25,KRC Genk,6.0,€73.60m
Gustaf Nilsson,Centre-Forward,27,Club Brugge KV,6.0,€136.85m
Roko Simic,Centre-Forward,20,KV Kortrijk,6.0,€28.30m
Ardon Jashari,Defensive Midfield,22,Club Brugge KV,6.0,€136.85m
Sofiane Boufal,Left Winger,30,Union Saint-Gilloise,6.0,€77.30m
Tolu Arokodare,Centre-Forward,23,KRC Genk,5.5,€73.60m
Noah Sadiki,Central Midfield,19,Union Saint-Gilloise,5.0,€77.30m
Luis Vázquez,Centre-Forward,23,RSC Anderlecht,5.0,€115.80m
Théo Leoni,Central Midfield,24,RSC Anderlecht,5.0,€115.80m
Mathias Delorge,Central Midfield,20,KAA Gent,5.0,€55.45m
Lazare Amani,Central Midfield,26,Union Saint-Gilloise,5.0,€77.30m
Hugo Siquet,Right-Back,22,Club Brugge KV,5.0,€136.85m
Francis Amuzu,Left Winger,25,RSC Anderlecht,5.0,€115.80m
Zinho Vanheusden,Centre-Back,25,KV Mechelen,5.0,€28.50m
Thorgan Hazard,Left Winger,31,RSC Anderlecht,5.0,€115.80m
Killian Sardella,Right-Back,22,RSC Anderlecht,5.0,€115.80m
